# key	english	bulgarian	french	russian
Items/bobHideoutPCDes	A top-notch information technology. Too bad nobody had invented a wider network for these things.	Най-добрата информационна технология. Жалко, че никой не е измислил по-широка мрежа за тези неща.	Une technologie de l'information de premier ordre. Dommage que personne n'ait inventé un réseau plus grand pour ça.	Высококлассная информационная технология. Жаль, что никто не изобрел более широкую сеть для таких вещей.
Items/bobHideoutBoard	Bob's Plan	Планът на Боб	Plan de Bob	План Боба
Items/bobHideoutBoardDes	Post-it notes always make the interior look professional.	Лепенките винаги правят интериора да изглежда професионално.	Les post-it donnent toujours un aspect professionnel.	Стикеры всегда придают интерьеру солидный вид.
Items/bobHideoutSupPosters	Posters	Плакати	Posters	Плакаты
Items/bobHideoutSupPostersDes	Apart from his books and comics, Bob has a collection of posters. It might be the most colorful place in whole Murricaville.	Освен книгите и комиксите си, Боб има колекция от плакати. Може би това е най-цветното място в цялата Мъррикавил.	À part ses livres et ses bandes dessinées, Bob a aussi une collection de posters. Ça pourrait être l'endroit le plus coloré de tout Murricaville.	Кроме книг и комиксов, у Боба есть коллекция плакатов. Возможно, это самое красочное место во всем Мерикосвиле.
Items/bobHideoutBless	Bless the President	Боже, пази президента	Gloire au Président	Боже, храни Президента
Items/bobSleeplessBasePosters	Posters	Плакати	Posters	Плакаты
Items/bobSleeplessBasePillows	Mattresses	Матраци	Matelas	Матрасы
Items/bobSleeplessBaseContainers	Military chests	Военни сандъци	Coffres militaires	Ящики военных
Items/bobSleeplessBaseChairs	Chairs	Столове	Chaises	Стулья
Items/SleeplessMember	Member of The Sleepless	Член на Безсънните	Membre des Éveillés	Член Неспящих
Items/Jenny	Jenny	Джени	Jenny	Дженни
Items/Joe	Joe	Джо	Joe	Джо
Items/Jim	Jim	Джим	Jim	Джим
Items/Karen	Karen	Карин	Karen	Карен
Items/Kate	Kate	Кейт	Kate	Кейт
Items/Krystal	Crystal	Кристал	Cristal	Кристалл
Items/CowSkull	Cow Skull	Череп на крава	Crâne de Vache	Череп коровы
Items/DescCowSkull	Horrific decorative piece.	Ужасно декоративно парче.	Pièce décorative horrible.	Ужасающее украшение.
Items/DeerSkull	Deer Skull	Череп на елен	Crâne de cerf	Череп оленя
Items/DescDeerSkull	One of many trophies from Jenny's collection. Looks great on the wall.	Един от многото трофеи от колекцията на Джени. Изглежда страхотно на стената.	Un des nombreux trophées de la collection de Jenny. Rend bien sur le mur.	Трофей из многочисленной коллекции Дженни. Отлично смотрится на стене.
Items/EradicatorPoster	Eradicator Poster	Плакат на Ерадикатора	Affiche d'Éradicateur	Плакат с Уничтожителем
Items/DescEradicatorPoster	Electronic killer from future	Електронен убиец от бъдещето	Tueur électronique du futur	Электронный убийца из будущего
Items/SheMamaPoster	She Mama Poster	Постер на Ше Мама	She Mama Poster	Плакат с Женщиной-матерью
Items/DescSheMamaPoster	A touch of fantasy world in your home	Малко фантазия в твоя дом	Une touche de monde fantastique dans votre maison	Дух фэнтези у вас дома.
Items/SleeplessPoster	Sleepless Poster	Плакат на Безсънния	Poster des Éveillés	Плакат с Неспящими
Items/DescSleeplessPoster	They say that walls can have ears, but no one ever mentioned the eyes	Те казват, че стените имат уши, но никой не е споменавал за очите.	Ils disent que les murs peuvent avoir des oreilles, mais personne n'a jamais mentionné les yeux	Говорят, что у стен есть уши, но про глаза все почему-то молчат.
Items/WallShelf	Wall Shelf	Рафт за стена	Étagère	Настенная полка
