# key	english
UI/Blueprint	Blueprint
Dialogues/prepFirstMeeting6.2	<voice type=question> \nI have a broken revolver. Could you take a look at it?
Dialogues/prepFirstMeeting6.3	Uhm... Wait. I think I must have left it somewhere. I'll be back.
Dialogues/joeFirstMeeting6.4	Oh, okay. See you later, young man.
Dialogues/joeFirstMeeting7	<voice type=question>\nYeah, sure. But could I ask you for a thing in return?
Dialogues/prepFirstMeeting8	<voice type=acceptance>\nShoot, I'll see what I can do.
Dialogues/joeFirstMeeting9	So, how to explain it… With all the waves coming around… I figured I could install some protection in my lil' shack.\nAnd maybe have some… wearable personal protection too.
Dialogues/prepFirstMeeting10	<voice type=question>\nSo you want me to… 
Dialogues/joeFirstMeeting11	Well, since it's the waves… I want you to bring me some tinfoil. At least enough to line my shack with it.
Dialogues/prepFirstMeeting12	<voice type=laugh>\nAh, right! Tinfoil! The universal protection from mind control. I should've guessed.
Dialogues/joeFirstMeeting13	<voice type=thanks>\nYou get it, that's great! 
Dialogues/prepFirstMeeting14	Suuure. Now, before I go looking for tinfoil… I have one another thing. I've noticed you have some cars around here.\n<voice type=question>\nDo you have something close to a working condition so I could try to get it up and running?
Dialogues/joeFirstMeeting15	Why, I do. Feel free to take a look and try. If you manage to repair one, it's yours.\nOh, and by the way – if you need to trade something, our usual Murricaville way, I'm open.\nI have fuel, scrap metal, and ammunition. You know, the usual things on the junkyard.
Dialogues/prepFirstMeeting16	<voice type=thanks>\nGreat, thanks! See you later then.\n(What the hell is the Hum?)
Dialogues/joeFirstMeetingIncomplete1	<voice type=question>\nHey Prepper, do you have the material?
Dialogues/prepFirstMeetingIncomplete2	<voice type=negation>\nNo, not yet, I need to look around some more.
Dialogues/joeFirstMeetingIncomplete3	<voice type=disappointment>\nPlease do! I feel the waves are getting worse lately.
Dialogues/prepFirstMeetingComplete1	<voice type=greeting>\nHey Joe! I have the tinfoil for you!
Dialogues/joeFirstMeetingComplete2	<voice type=thanks>\nOh, shiny! Thanks a lot, I hope I'll get my concentration back!\nBy the way, I have repaired your revolver, it's like new. But if the Agency asks you about it, I know nothing!\nI have some stuff to do now, but remember to stop by sometimes!
Dialogues/prepFirstMeetingComplete3	<voice type=thanks>\nSure thing. Thank you, Joe!
Dialogues/chupaWoof1	<animation trigger=BeforAttack>\nWoof!
Dialogues/chupaWoof2	<animation trigger=BeforAttack>\nWoof woof!
Dialogues/chupaWoof3	<animation trigger=BeforAttack>\n(snarl)
Dialogues/chupaWoof4	<animation trigger=BeforAttack>\nBark bark!
Dialogues/joeDog1	<voice type=thanks>\nHey, Prepper! Thank goodness you're here!
Dialogues/prepDog2	<voice type=question>\nHey Joe, what happened?
Dialogues/joeDog3	<voice type=upset>\nMy dog, Chupacabra, is missing! I'm losing my mind. He has never been going far by himself.\nHe is a disciplined dog, normally he is helping me guard the junkyard.\n<voice type=upset>\nI don't know what happened! Could you please help me find him?
Dialogues/prepDog4	<voice type=question>\nI'll be on the lookout. Can you remind me how did he look like?
Dialogues/joeDog5	Oh, don't you remember him? He's a shepherd dog type, quite muscular. Very wise eyes.\n<voice type=upset>\nPlease bring him back if you see him!
Dialogues/prepDog6	<voice type=acceptance>\nSure, I'll see what I can do.
Dialogues/joeDogIncomplete1	<voice type=upset>\nPrepper! Have you found my dog? I'm worried sick about him!
Dialogues/prepDogIncomplete2	<voice type=negation>\nNo, sorry. 
Dialogues/prepDogComplete1	<voice type=greeting>\nHey Joe! And Chupacabra! I'm glad he already got to you. He ran away as soon as I released him.
Dialogues/joeDogComplete2	<voice type=laugh>\nOh Prepper, so it was really you! We can't thank you enough, brother.
Dialogues/prepDogComplete3	<voice type=question>\nDo you have any idea who would want to hurt your dog?
Dialogues/joeDogComplete4	<voice type=negation>\nI dunno if it even was a person. I have a feeling dogs get crazy because of the waves, like we all do.
Dialogues/prepDogComplete5	<voice type=question>\nHm. Oh, that reminds me… Why the name? Did you have any experience with… you know… a chupacabra?
Dialogues/joeDogComplete6	<voice type=surprise>\nWhat? No, come on. Chupacabra is just a silly legend. I just thought the name is funny, that's all.
Dialogues/prepDogComplete7	<voice type=acceptance>\nHeh. Right, of course.
Dialogues/joeDogComplete8	And hey, Prepper, I have something for ya. I've found an access card with "Murricaville Mining Company" written on it.\nMaybe you'll make some use of this.
Dialogues/prepDogComplete9	<voice type=thanks>\nI actually might. Thanks, Joe.
Dialogues/joeBroadcast1	<voice type=greeting>\nHi, Prepper! Good to see ya.\n<voice type=question>\nHave you heard the rumors about the radio broadcast from… you know… the south?
Dialogues/prepBroadcast2	<voice type=negation>\nNo. From the south? You mean from Mexico?
Dialogues/joeBroadcast3	I haven't spoken this name out loud for a long time. See, the Agency propaganda got even into my blood.\nYes, from Mexico. People say they pick up a radio signal, but too weak to be readable.\nI tried with my radio. I got something, but couldn't get the words. But I'm sure it's a repeated message, not a regular radio station.
Dialogues/prepBroadcast4	<voice type=surprise>\nTransmission from abroad? Exciting!\n<voice type=question>\nMaybe we should try to catch the signal from a car? Somewhere from the desert south of here?
Dialogues/joeBroadcast5	That's what I was thinking, Prepper. The thing is: the car radio is broken. With some decent electronic parts I could repair it. \n<voice type=disappointment>\nAnd it turns out I've already used all the ones I had on the junkyard for some... other projects.\n<voice type=question>\nWould ya get me some good electronic parts so I can install a strong radio in the car?
Dialogues/prepBroadcast6	<voice type=acceptance>\nSure, I'll try. 
Dialogues/joeBroadcastFoundIncomplete1	<voice type=greeting>\nPrepper! Have you picked up the signal yet?
Dialogues/prepBroadcastFoundIncomplete2	<voice type=negation>\nNo luck so far, sorry.
Dialogues/joeBroadcastIncomplete1	<voice type=greeting>\nHey Prepper! Do you have the electronic parts? I'm very curious about this broadcast!
Dialogues/prepBroadcastIncomplete2	<voice type=negation>\nNot yet! But I'm working on it, trust me.
Dialogues/radioBroadcastText	…Attention! All citizens of the United States of America! Your government is lying to you!\nThe Brazen Serpent satellite is not a medical project! Brazen Serpent is a mind control tool!\nBrazen Serpent causes lack of motivation, memory problems, and vulnerability to manipulation!\nA series of terrorist attacks is thought to be linked with Brazen Serpent!\nCitizens of the United States! Revolt against your government or defect to our side!\nWe have help for you ready at the borders! You do not have to suffer!\nAttention! All citizens… (the broadcast repeats itself)\n
Dialogues/joeBroadcastFoundComplete1	<voice type=greeting>\nHi, Prepper! Have you caught the transmission?
Dialogues/prepBroadcastFoundComplete2	<voice type=acceptance>\nI have, yes. It's read with a strong Spanish accent. I've written it down, but I can tell you the main points.
Dialogues/joeBroadcastFoundComplete3	<voice type=order>\nDo it right now, I'm anxious to know!
Dialogues/prepBroadcastFoundComplete4	They're basically saying the Brazen Serpent satellite is a mind control tool.\nAnd this indeed would explain a lot of things.
Dialogues/joeBroadcastFoundComplete5	<voice type=laugh>\nThe waves! I told you, Prepper!
Dialogues/prepBroadcastFoundComplete6	They also say it causes memory and concentration problems. Oh, and they blame it for some terrorist attacks.
Dialogues/joeBroadcastFoundComplete7	<voice type=upset>\nThis… I dunno, Prepper. I feel broken. I was afraid of the mind control waves for some time, but I secretly hoped it wasn't true.\nNow I know for sure, and this thing is circling above us constantly.\n<voice type=question>\nAnd did the Mexicans have any… advice for us?\n
Dialogues/prepBroadcastFoundComplete8	They're telling us to revolt or escape to their side. A walk in the park, right?
Dialogues/joeBroadcastFoundComplete9	Damn, Prepper. I'm too old and weak to leave this junkyard and take Chupacabra with me.\nBut I know you can outsmart them. Escape from here, maybe fight from the outside.\n<voice type=order>\nPlease, do it for us.
Dialogues/prepBroadcastFoundComplete10	<voice type=thanks>\nThanks, Joe. Trust me… I'm doing what I can.  
Dialogues/bobComicStrip	This is a precious exhibit in my collection. A page from the “Imperial Observer”, smuggled from Europe. \nThe cartoon nicely shows how our country is seen abroad, bless the President.\nOh, and the article on the same page is quite interesting too.\n
Dialogues/bobOntheBeach	Ah, this is one of my favorites. Despite the title, it's not about summer vacations merrymaking.\nIt shows the aftermath of nuclear war from the perspective of Australia.\nAnd the Australians are surprisingly chill about their imminent doom. I'm still not sure if it's sad or inspiring.\n
Dialogues/joeOldCar	Ah, this one brings memories. It's a Studebaker Silver Hawk, just like the one I had in my youth. \nBack in the days when you could afford a car with a factory job and gasoline was dirt cheap.\nWe spent some lovely moments in this car with Barbara. Drive-in cinemas, a road trip to the Pacific coast, sunsets on hilltops.\nBut Barbara died in the Plague, and everything else went to hell afterwards. Except for the sunsets maybe.\n
Dialogues/prepAtomicBook1	Hey, Bob. I'm looking for a book on a specific topic and I wonder if you have something in your library.
Dialogues/bobAtomicBook2	Oh, it's been a while since I could help anyone with a request like this! Shoot.
Dialogues/prepAtomicBook3	I'm looking for an informative book about nuclear warfare and its consequences. Not a novel, rather a non-fiction sort of thing.\nI'm asking for a friend.
Dialogues/bobAtomicBook4	This is… a very telling field of inquiry.\nBut fine, I think I actually have something. Here's Fallout Protection: What To Know And Do About Nuclear Attack, a government brochure from the early sixties.\nVery informative. And check out the illustrations! You can actually feel excited about your area being nuked.\n
Dialogues/prepAtomicBook5	Sounds like something right up my alley! Thanks, Bob.
Dialogues/sleep1Hello	It's my 37th hour without sleep and I feel almost fine! And the red color on these posters sounds really pleasant, don't you think?
Dialogues/sleep2Hello	Sometimes right after 3 AM you can see some people walking back to their beds, completely unconscious. It's super creepy.
Dialogues/sleep3Hello	Most of us Sleepless have tried tying ourselves up somewhere outside our beds, and not for the fun reasons.
Dialogues/sleep4Hello	Stay awake! *yawn*
Dialogues/sleep5Hello	I miss the days when a regular coffee was enough to keep me awake through the night.
Dialogues/sleep6Hello	Maybe I'll lie down here for a moment… Just a short nap…
Dialogues/joeNoQuests1	<voice type=question>\nWhat's up, Prepper? Nothing much happens here lately. I was just chilling and watching chemtrails from the passing planes.
